,project_internal_id,group_internal_id,task_internal_id,project_id,group_id,task_id,geom,tile_z,url,tile_x,tile_y
0,2962,98948,15287441,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155308-149594,"MULTIPOLYGON(((33.2830810546875 -24.6395278806334,33.2844543457031 -24.6395278806334,33.2844543457031 -24.6407761254856,33.2830810546875 -24.6407761254856,33.2830810546875 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123120.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149594
1,2962,98948,15287442,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155308-149595,"MULTIPOLYGON(((33.2830810546875 -24.6407761254856,33.2844543457031 -24.6407761254856,33.2844543457031 -24.642024357864,33.2830810546875 -24.642024357864,33.2830810546875 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123122.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149595
2,2962,98948,15287443,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155308-149596,"MULTIPOLYGON(((33.2830810546875 -24.642024357864,33.2844543457031 -24.642024357864,33.2844543457031 -24.6432725777682,33.2830810546875 -24.6432725777682,33.2830810546875 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123300.jpeg?g=15384&mkt=en-US&token=REDACTED,155308,149596
3,2962,98948,15287444,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155309-149594,"MULTIPOLYGON(((33.2844543457031 -24.6395278806334,33.2858276367188 -24.6395278806334,33.2858276367188 -24.6407761254856,33.2844543457031 -24.6407761254856,33.2844543457031 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123121.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149594
4,2962,98948,15287445,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155309-149595,"MULTIPOLYGON(((33.2844543457031 -24.6407761254856,33.2858276367188 -24.6407761254856,33.2858276367188 -24.642024357864,33.2844543457031 -24.642024357864,33.2844543457031 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123123.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149595
5,2962,98948,15287446,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155309-149596,"MULTIPOLYGON(((33.2844543457031 -24.642024357864,33.2858276367188 -24.642024357864,33.2858276367188 -24.6432725777682,33.2844543457031 -24.6432725777682,33.2844543457031 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123301.jpeg?g=15384&mkt=en-US&token=REDACTED,155309,149596
6,2962,98948,15287447,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155310-149594,"MULTIPOLYGON(((33.2858276367188 -24.6395278806334,33.2872009277344 -24.6395278806334,33.2872009277344 -24.6407761254856,33.2858276367188 -24.6407761254856,33.2858276367188 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123130.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149594
7,2962,98948,15287448,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155310-149595,"MULTIPOLYGON(((33.2858276367188 -24.6407761254856,33.2872009277344 -24.6407761254856,33.2872009277344 -24.642024357864,33.2858276367188 -24.642024357864,33.2858276367188 -24.6407761254856)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123132.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149595
8,2962,98948,15287449,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155310-149596,"MULTIPOLYGON(((33.2858276367188 -24.642024357864,33.2872009277344 -24.642024357864,33.2872009277344 -24.6432725777682,33.2858276367188 -24.6432725777682,33.2858276367188 -24.642024357864)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123310.jpeg?g=15384&mkt=en-US&token=REDACTED,155310,149596
9,2962,98948,15287450,01KMMX0C9MG396SCV8W8CZ8RY3,g101,18-155311-149594,"MULTIPOLYGON(((33.2872009277344 -24.6395278806334,33.28857421875 -24.6395278806334,33.28857421875 -24.6407761254856,33.2872009277344 -24.6407761254856,33.2872009277344 -24.6395278806334)))",18,https://ecn.t0.tiles.virtualearth.net/tiles/a300301311012123131.jpeg?g=15384&mkt=en-US&token=REDACTED,155311,149594
